Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #3,2024-03-02,1.0,0,0.0,0,0,
Branton #1,2024-03-02,0.0,0,0.0,0,0,
Davis Lease,2024-03-02,0.0,0,19.25,0,0,
JM Moore 178,2024-03-02,5.01,0,1.16,0,0,Venting gas 112 mcf
JM Moore 192,2024-03-02,13.36,0,145.0,0,0,
Kleimann #3,2024-03-02,0.0,0,0.0,0,0,
MCWF #1,2024-03-02,0.0,0,449.37,0,0,
Montemayor #1,2024-03-02,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-02,0.0,0,24.75,0,0,
Palm #1,2024-03-02,0.0,0,0.0,0,0,
Preston #1,2024-03-02,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-01,38.5,86,144.0,0,0,
Blair TXL 7 #2,2024-03-01,8.28,13,0.0,0,0,
Blair TXL 7 #3,2024-03-01,2.0,0,0.0,0,0,
Branton #1,2024-03-01,0.0,0,0.0,0,0,
Davis Lease,2024-03-01,0.0,0,27.5,0,0,
JM Moore 178,2024-03-01,5.01,0,1.67,0,0,Venting gas 110 mcf
JM Moore 192,2024-03-01,13.36,0,140.0,0,0,
Kleimann #3,2024-03-01,0.0,0,0.0,0,0,
MCWF #1,2024-03-01,0.0,0,205.1,0,0,
Montemayor #1,2024-03-01,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-01,0.0,0,91.0,0,0,
Palm #1,2024-03-01,0.0,0,0.0,0,0,
Preston #1,2024-03-01,0.0,0,0.0,0,0,
