API14,Well Name,Well Number
42157012690000,"MOORE, J. M. ET AL",134
42157012670000,"MOORE, J. M. ET AL",132
42157012590000,"MOORE, J. M., ET AL",124
42157012560001,"MOORE, J. M., ET AL",121
42157012560000,"MOORE, J. M., ET AL",121
42157012540001,"MOORE, J. M., ET AL",119
42157012540000,"MOORE, J. M., ET AL",119
42157012500000,"MOORE, J. M., ETAL",115
42157012470001,"MOORE, J. M., ET AL",112
42157012470000,"MOORE, J. M., ET AL",112
42157012430000,"MOORE, J. M., ETAL",108 L
42157012400000,"MOORE, J. M. ET AL",105
42157012380000,"MOORE, J. M., ETAL",103
42157012370000,"MOORE, J. M., ETAL",102
42157012360000,"MOORE, J. M. ET AL",101
42157012350001,"MOORE, J. M. ET AL",100
42157012350000,"MOORE, J. M. ET AL",100
42157012340000,"MOORE, J. M., ET AL",99
42157012330001,"MOORE, J. M. ETAL",98
42157012330000,"MOORE, J. M. ETAL",98
42157012280001,"MOORE, J. M., ETAL",93
42157012280000,"MOORE, J. M., ETAL",93
42157012270002,"MOORE, J. M., ETAL",92
42157012270001,"MOORE, J. M., ETAL",92
42157012270000,"MOORE, J. M., ETAL",92
42157012250000,"MOORE, J. M., ETAL",90
42157012240000,"MOORE, J. M., ETAL",89 C
42157012220000,"MOORE, J. M., ETAL",87
42157012200000,"MOORE, J. M., ETAL",85
42157012190000,"MOORE, J. M., ETAL",84
42157012180000,"MOORE, J. M. ET AL",83
42157012160000,"MOORE, J. M. ET AL",81
42157012130000,"MOORE, J. M., ET AL",78
42157012120001,"MOORE, J. M. ET AL",77
42157012120000,"MOORE, J. M. ET AL",77
42157012100002,"MOORE, J. M. ET AL",75
42157012100001,"MOORE, J. M. ET AL",75
42157012100000,"MOORE, J. M. ET AL",75
42157012080000,"MOORE, J. M. ET AL",73
42157012070001,"MOORE, J. M., ET AL",72
42157012070000,"MOORE, J. M., ET AL",72
42157012050001,"MOORE, J. M., ETAL",70
42157012050000,"MOORE, J. M., ETAL",70
42157012020000,"MOORE, J. M., ET AL",67
42157011950000,"MOORE, J. M., ET AL",58
42157011870000,"MOORE, J. M.",49
42157011780000,"MOORE, J. M. ET AL",40
42157011400000,"MOORE, J. M., ETAL",2
42149331110000,RUETHER,1
42149323530001,BAUMBACH,1
42149323530000,BAUMBACH,1
42149323520100,KERN,2 H
42149323520000,KERN,2 H
42149323020000,KERN,1
42149321300000,A L,1
42127387890100,CMWW,2
42127387890000,CMWW,2
42127387810200,CMWW,1
42127387810100,CMWW,1
42127387810000,CMWW,1
42127387600300,LAMB,1
42127387600200,LAMB,1
42127387600100,LAMB,1
42127387600000,LAMB,1
42127386460100,JIC BUDA,1
42127386460000,JIC BUDA,1
42127386100100,SANSOM,1
42127386100000,SANSOM,1
42127385660300,BURNS RANCH 2,1
42127385660200,BURNS RANCH 2,1
42127385660100,BURNS RANCH 2,1
42127385660000,BURNS RANCH 2,1
42127385650400,BURNS RANCH GT,1
42127385650300,BURNS RANCH GT,1
42127385650200,BURNS RANCH GT,1
42127385650100,BURNS RANCH GT,1
42127385650000,BURNS RANCH GT,1
42127384760300,MARRS,1
42127384760200,MARRS,1
42127384760100,MARRS,1
42127384760000,MARRS,1
42127384740500,RAB 3,1
42127384740400,RAB 3,1
42127384740300,RAB 3,1
42127384740200,RAB 3,1
42127384740100,RAB 3,1
42127384740000,RAB 3,1
42127384400000,BALFOUR,1
42127384260400,DRINKARD,1
42127384260300,DRINKARD,1
42127384260200,DRINKARD,1
42127384260100,DRINKARD,1
42127384260000,DRINKARD,1
42127384250300,FATHEREE,1
42127384250200,FATHEREE,1
42127384250100,FATHEREE,1
42127384250000,FATHEREE,1
42127384240300,RAB 2,1
42127384240200,RAB 2,1
42127384240100,RAB 2,1
42127384240000,RAB 2,1
42127383820200,BMMP 3,1
42127383820100,BMMP 3,1
