well,id,run_ticket_number,date,date_string,updated_at,type,total
JJ #1,1951114.0,2875544,1702447200.0,2023-12-13,1970-01-01 00:00:01.702447200,OIL,180.0
JJ #1,1951115.0,,1702447200.0,2023-12-13,1970-01-01 00:00:01.702447200,OIL,55.11
JJ #1,1951116.0,,1702447200.0,2023-12-13,1970-01-01 00:00:01.702447200,OIL,55.11
JJ #1,1948360.0,12288,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,WATER,130.0
JJ #1,1947390.0,12282,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,WATER,130.0
JJ #1,1947391.0,2859881,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,OIL,183.0
JJ #1,1947392.0,,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,OIL,53.44
JJ #1,1947393.0,,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,OIL,53.44
JJ #1,1945728.0,6689,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,WATER,130.0
Jessica #1,1971090.0,014200,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,130.0
Jessica #1,1969236.0,2913661,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,OIL,190.0
Jessica #1,1969237.0,014734,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,WATER,100.0
Jessica #1,1966189.0,2900611,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,188.0
Jessica #1,1960463.0,014291,1703224800.0,2023-12-22,1970-01-01 00:00:01.703224800,WATER,120.0
Jessica #1,1952182.0,2877381,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,185.0
Joseph #1,1972214.0,14198,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,130.0
Joseph #1,1963175.0,2886741,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,OIL,188.0
Joseph #1,1957271.0,14964,1702879200.0,2023-12-18,1970-01-01 00:00:01.702879200,WATER,120.0
Joseph #1,1954817.0,14960,1702792800.0,2023-12-17,1970-01-01 00:00:01.702792800,WATER,120.0
Jred #1,1946024.0,,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,OIL,15.37
