,id,name,type,capacity,multiplier,created_at,updated_at
1103,34420,JIC OIl 3,OIL,500,1.67,1634308215,1748295448
1104,39808,JIC Oil Remote,OIL/WATER,500,1.67,1669232755,1746154801
1105,34421,JIC Water 1,WATER,400,1.67,1634308215,1748295448
1106,29192,JJ 1 R New Oil,OIL/WATER,400,3.34,1594183377,1734468636
1107,29193,JJ 1 R New Water,OIL/WATER,400,1.67,1594183377,1734468636
1108,21978,JJ 1 Remote Water 1,WATER,400,1.67,1561662953,1734468636
1109,21784,JJ 1 Water 1,WATER,400,1.67,1559596586,1748363428
1110,7229,JM Moore 178 Water,WATER,210,1.16,1450213594,1748351775
1111,6958,JM Moore Test Oil 1,OIL/WATER,210,1.16,1449244840,1748351775
1112,6959,JM Moore Test Water1,OIL/WATER,210,1.16,1449244840,1748351775
1113,6960,JM Moore Test Water2,WATER,300,1.67,1449244840,1734468636
1114,5072,Joe 1 Water,WATER,200,1.67,1440778453,1724708015
1115,6979,Jones 1 Water 1,WATER,210,1.16,1449262939,1748345053
1116,16606,Joseph Remote,WATER,400,1.67,1530021179,1748379726
1117,16501,Joseph Water 1,WATER,400,1.67,1528207548,1748295449
1118,7111,Joyce 1 Oil 3,OIL/WATER,436,2.27,1449272250,1748345057
1119,7112,Joyce 1 Water 1,WATER,300,1.67,1449272252,1748345057
1120,5195,JRED 1 Water,WATER,200,1.67,1440782948,1748368681
1121,15254,JRED Remote,WATER,200,1.67,1522355254,1734468636
1122,6884,Kadav 1 Oil 2,OIL/WATER,436,2.27,1449242978,1748345050
1123,6885,Kadav 1 Water 1,WATER,200,1.67,1449243000,1748345049
1124,7116,Kagg 1 Oil 2,OIL/WATER,436,2.27,1449521973,1748345057
1125,7117,Kagg 1 Oil 3,OIL/WATER,436,2.27,1449521973,1748345057
1126,7118,Kagg 1 Water,WATER,300,1.67,1449521973,1748345057
1127,7121,Kagg 2 Oil 3,OIL/WATER,436,2.27,1449522027,1748345057
1128,7122,Kagg 2 Water 1,WATER,300,1.67,1449522027,1748345057
1129,19186,Kay 1 Water 1,WATER,400,1.67,1548690931,1748362915
1130,19258,Kay Remote,WATER,400,1.67,1549295817,1734468637
1131,7060,Kennedy 1 Water 1,WATER,200,1.67,1449266424,1748345053
1132,16607,Kiley Remote Oil 1,OIL/WATER,400,1.67,1530024617,1722974143
1133,16609,Kiley Remote Water,OIL/WATER,400,1.67,1530024617,1722974144
1134,44612,Kim Water,WATER,500,2.75,1705935532,1748375403
1135,25201,Kincaid 1 Oil 1,OIL,400,1.67,1578944988,1721764916
1136,25202,Kincaid 1 Oil 2,OIL,400,1.67,1578944988,1721764916
1137,25203,Kincaid 1 Oil 3,OIL,400,1.67,1578944988,1721764916
1138,25204,Kincaid 1 Oil 4,OIL,400,1.67,1578944988,1721764916
1139,25205,Kincaid 1 Water 1,WATER,400,1.67,1578944988,1721764916
1140,25242,Kincaid Remote Oil 1,OIL,400,1.67,1579551458,1721764916
1141,25243,Kincaid Remote Oil 2,OIL,400,1.67,1579551459,1721764916
1142,25244,Kincaid Remote Water,WATER,400,1.67,1579551459,1721764916
1143,10992,Kirby Test Oil 1,OIL,400,1.67,1488549857,1721764915
1144,10993,Kirby Test Oil 2,OIL,400,1.67,1488549857,1721764915
1145,10994,Kirby Test Water,WATER,400,1.67,1488549857,1721764915
1146,7639,Kirby Water 1,WATER,400,1.67,1452112644,1721764915
1147,29878,Kirby Water 1 Remote,OIL,400,1.67,1604523065,1721764916
1148,23469,Kleim 3 Remote Oil 1,OIL,400,1.67,1571081528,1748379715
1149,23470,Kleim 3 Remote Water,WATER,400,1.67,1571081528,1734468637
1150,46741,Kleimann 3 RE Water,WATER,400,1.67,1723131499,1748362914
1151,22982,Kleimann 3 Tank 1,OIL,400,1.67,1568992729,1743628792
1152,22983,Kleimann 3 Tank 2,OIL,400,1.67,1568992729,1743628792
1153,29465,Kleimann 3 Tank 3,OIL,400,1.67,1597067860,1743628792
1154,22984,Kleimann 3 Water,WATER,400,1.67,1568992875,1743628792
1155,14637,Kleinman #1 Water,WATER,400,1.67,1519926331,1748362914
